key,cpt
0,99214
1,99223
2,99231
3,87088
4,G8427
5,80053
6,11721
7,74177
8,99213
9,G8784
10,97140
11,36415
12,83036
13,Q2038
14,76700
15,87621
16,36569
17,77001
18,93880
19,20600
20,73130
21,86038
22,Q9967
23,G9008
24,76831
25,G0127
26,G8428
27,99144
28,93970
29,80182
30,82646
31,82649
32,83805
33,84311
34,J1626
35,J9041
36,87186
37,71020
38,82570
39,82728
40,84550
41,85027
42,99284
43,80061
44,J2997
45,11055
46,11719
47,99233
48,96372
49,96375
50,11642
51,81003
52,83721
53,99202
54,93458
55,G8918
56,73110
57,99239
58,99232
59,80048
60,P9603
61,3120F
62,2010F
63,93010
64,99238
65,84466
66,51798
67,85652
68,1124F
69,88305
70,88312
71,88313
72,99204
73,97010
74,J1100
75,14021
76,J1030
77,3045F
78,90791
79,84443
80,85025
81,87077
82,87086
83,G8483
84,70450
85,11056
86,17004
87,99215
88,72100
89,99203
90,90837
91,70220
92,99283
93,99324
94,G8553
95,81002
96,96365
97,J1756
98,86301
99,74250
100,97110
101,15271
102,J1750
103,Q0092
104,1123F
105,J0702
106,4250F
107,33405
108,G8420
109,A0425
110,G8482
111,76705
112,A9579
113,87536
114,94760
115,71010
116,G0438
117,G8417
118,1036F
119,1090F
120,Q2037
121,29405
122,Q4038
123,77421
124,71250
125,85610
126,99285
127,97124
128,99308
129,93000
130,G0166
131,77080
132,A9552
133,82306
134,G0103
135,3046F
136,3078F
137,88321
