key,cpt
0,2724
1,29632
2,4019
3,43310
4,43401
5,43810
6,43820
7,496
8,5849
9,5990
10,3384
11,72283
12,7231
13,7242
14,7244
15,7291
16,V5869
17,5939
18,1101
19,7295
20,4414
21,5932
22,38000
23,69279
24,70909
25,4439
26,70710
27,4589
28,71516
29,71946
30,71956
31,25002
32,2720
33,V0481
34,78321
35,V762
36,V5881
37,25000
38,40290
39,41401
40,42731
41,5853
42,V103
43,71514
44,71944
45,7993
46,V1389
47,6271
48,4011
49,25060
50,2449
51,37405
52,7213
53,72252
54,V5883
55,78052
56,1741
57,20300
58,7862
59,2749
60,2809
61,79093
62,37272
63,78701
64,8026
65,9212
66,37141
67,37484
68,37921
69,V431
70,23875
71,2875
72,7847
73,36511
74,2752
75,2768
76,9961
77,30000
78,311
79,53081
80,78079
81,49121
82,49300
83,49320
84,389
85,486
86,78097
87,17332
88,27800
89,53390
90,71590
91,71596
92,725
93,7197
94,4254
95,36616
96,V5412
97,5303
98,78720
99,3369
100,7812
101,V5789
102,25001
103,4240
104,79431
105,V4582
106,27650
107,2689
108,591
109,78650
110,78702
111,29420
112,78609
113,29630
114,72982
115,60001
116,71945
117,3310
118,185
119,3669
120,3688
121,4279
122,V709
123,36617
124,2662
125,2859
126,35800
127,7079
128,7464
129,7852
130,V8521
131,53540
132,4359
133,78605
134,V7281
135,7241
136,7392
137,7393
138,28800
139,20410
140,V5811
141,78820
142,8248
143,17340
144,17360
145,72690
146,7352
147,71517
148,3051
149,5712
150,V8532
151,3572
152,7851
153,V4501
154,V4589
155,3090
156,5856
157,7881
158,4580
159,7804
160,7245
161,59972
162,25070
163,44020
164,44381
165,700
166,2753
167,28860
168,49122
169,78659
170,7020
171,70219
172,70900
173,7092
174,34500
175,78039
176,3320
177,79029
178,7211
179,7220
180,7230
181,72402
182,29621
183,2440
184,4739
185,4371
186,95901
187,92411
188,7038
189,51889
190,2722
191,3315
192,7226
193,7948
194,7850
195,7099
196,60000
197,59970
198,1830
199,79589
200,78907
201,V8539
202,72210
203,1629
204,1983
205,70703
206,70722
207,6823
208,71941
209,4139
210,41400
211,6945
212,7265
213,7823
214,4241
215,5641
216,7899
217,7921
218,V1272
219,5852
220,60784
221,7962
222,V851
223,4610
224,4658
225,4660
226,42650
227,28521
228,78901
229,7234
230,42
231,78057
232,5119
233,5180
234,53011
235,V700
236,27801
237,36504
238,27802
239,30742
240,4550
241,73390
242,V160
243,1909
244,8054
245,8250
246,2948
247,4280
248,36562
249,36573
250,4412
251,51881
252,7292
253,29650
254,3574
255,72887
256,E9320
257,V8281
258,20070
259,2761
260,40390
261,V7644
262,25062
263,25072
264,V1251
265,V5867
266,V8537
267,V8523
268,29633
269,30001
270,2161
