key,mid
0,64
1,110
2,117
3,128
4,175
5,198
6,240
7,256
8,273
9,327
10,368
11,518
12,519
13,525
14,555
15,575
16,599
17,628
18,636
19,659
20,725
21,759
22,826
23,852
24,860
25,870
26,934
27,935
28,942
29,967
30,985
31,1001
32,1014
33,1027
34,1090
35,1096
36,1125
37,1141
38,1146
39,1153
40,1161
41,1195
42,1196
43,1197
44,1256
45,1276
46,1282
47,1302
48,1349
49,1402
50,1446
51,1472
52,1513
53,1516
54,1556
55,1571
56,1603
57,1612
58,1684
59,1741
60,1771
61,1785
62,1811
63,1865
64,1882
65,1887
66,1896
67,1911
68,1914
69,1979
70,2060
71,2105
72,2123
73,2163
74,2170
75,2190
76,2219
77,2303
78,2311
79,2353
80,2367
81,2388
82,2403
83,2444
84,2456
85,2576
86,2634
87,2648
88,2649
89,2650
90,2716
91,2719
92,2786
93,2792
94,2807
95,2837
96,2840
97,2902
98,2908
99,2936
100,3024
101,3056
102,3071
103,3139
104,3142
105,3144
106,3147
107,3174
108,3191
109,3231
110,3404
111,3410
112,3415
113,3416
114,3427
115,3449
116,3451
117,3452
118,3536
119,3604
120,3656
121,3671
122,3749
123,3788
124,3819
125,3848
126,3887
127,3895
128,3928
129,3931
130,3939
131,3949
132,3965
133,3967
134,4060
135,4084
136,4141
137,4188
138,4191
139,4288
140,4297
141,4346
142,4385
143,4508
144,4569
145,4617
146,4641
147,4695
148,4716
149,4717
150,4719
151,4724
152,4728
153,4784
154,4802
155,4841
156,4881
157,4894
158,4897
159,4901
160,4914
161,4920
162,4933
163,4967
164,5011
